,Date,Year,Month,Day,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
15867,2000-06-21,2000,6,21,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.026188,0.049,8,45,0.595833,0.7,6,8.0,6.7083330000000005,33.0,6,47.0,34.708333,50.0,7,47
15868,2000-06-22,2000,6,22,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.034176,0.048,12,44,0.608333,0.7,9,8.0,7.5,14.0,2,20.0,29.916667,41.0,21,39
15869,2000-06-23,2000,6,23,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.021059,0.039,9,36,0.491667,0.6,0,7.0,5.8333330000000005,11.0,0,16.0,25.541667,43.0,23,41
15870,2000-06-24,2000,6,24,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.048353,0.067,11,90,0.6,0.7,2,8.0,5.291667,8.0,0,11.0,29.0,48.0,22,45
15871,2000-06-25,2000,6,25,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.020412,0.045,9,42,0.6125,0.7,0,8.0,4.0,7.0,23,10.0,24.958333,38.0,20,36
15872,2000-06-26,2000,6,26,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.037118,0.057,10,58,0.629167,0.7,0,8.0,9.166667,26.0,10,37.0,35.625,56.0,18,53
15873,2000-06-27,2000,6,27,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.025529,0.05,7,46,0.575,0.7,0,8.0,7.8095240000000015,17.0,1,24.0,29.291667,41.0,0,39
15874,2000-06-28,2000,6,28,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.025118,0.052,10,48,0.458333,0.6,23,7.0,4.2083330000000005,7.0,6,10.0,27.75,48.0,21,45
15875,2000-06-29,2000,6,29,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.019824,0.039,11,36,0.629167,0.8,23,9.0,3.833333,7.0,10,10.0,35.636364,50.0,21,47
15876,2000-06-30,2000,6,30,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.023882,0.042,9,39,0.5875,0.9,0,10.0,5.416667,12.0,4,17.0,27.833333000000003,49.0,0,46
15877,2000-07-01,2000,7,1,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.031059,0.054,11,50,0.508333,0.7,22,8.0,5.25,12.0,23,17.0,33.958333,75.0,21,73
