,price,model,year,title_status,mileage,state,condition_1,brand_chevrolet,brand_dodge,brand_ford,brand_nissan,brand_other,color_black,color_blue,color_gray,color_other,color_red,color_silver,color_white
124,23505,18,2017,0,47357.0,16,120.0,1,0,0,0,0,1,0,0,0,0,0,0
125,10940,32,2017,0,84916.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
126,32100,50,2017,0,24521.0,34,1260.0,0,0,1,0,0,0,0,1,0,0,0,0
127,53000,4,2018,0,16105.0,40,1260.0,1,0,0,0,0,1,0,0,0,0,0,0
128,6830,75,2017,0,35888.0,36,2880.0,0,0,1,0,0,0,0,0,1,0,0,0
129,11900,12,2017,0,59537.0,34,1260.0,0,1,0,0,0,0,0,1,0,0,0,0
130,26414,0,2017,0,55222.0,16,1200.0,1,0,0,0,0,1,0,0,0,0,0,0
131,4160,75,2018,0,32870.0,6,1020.0,0,1,0,0,0,0,0,1,0,0,0,0
132,19405,32,2017,0,39687.0,16,180.0,1,0,0,0,0,0,0,0,0,0,1,0
133,5690,75,2018,0,47085.0,6,1020.0,0,1,0,0,0,0,0,0,0,0,1,0
134,25900,117,2017,0,32224.0,34,1260.0,0,0,0,0,1,0,0,0,0,0,1,0
135,24005,0,2017,0,51293.0,16,1200.0,1,0,0,0,0,0,0,0,1,0,0,0
136,5090,75,2018,0,42989.0,6,1020.0,0,1,0,0,0,0,0,1,0,0,0,0
137,19500,3,2017,0,31311.0,1,34.0,0,0,0,0,1,0,0,1,0,0,0,0
138,32012,0,2017,0,46091.0,16,2880.0,1,0,0,0,0,0,0,0,0,0,0,1
139,6800,30,2016,0,49033.0,16,2880.0,0,1,0,0,0,1,0,0,0,0,0,0
140,4260,75,2018,0,33957.0,6,960.0,0,1,0,0,0,0,0,1,0,0,0,0
142,31802,1,2017,0,19845.0,16,1200.0,1,0,0,0,0,0,0,0,0,0,1,0
143,7210,33,2018,0,38910.0,6,960.0,0,1,0,0,0,1,0,0,0,0,0,0
145,28402,0,2017,0,31234.0,16,2880.0,1,0,0,0,0,1,0,0,0,0,0,0
146,6800,33,2018,0,36767.0,6,960.0,0,1,0,0,0,0,0,1,0,0,0,0
147,33300,47,2015,0,57932.0,40,1260.0,0,0,0,0,1,0,0,1,0,0,0,0
